name,exp
minimum,"#심플, #차분함, #단정한, #절제된, #단순함, #남친룩, #최소한, #무지, #작은포인트"
toneontone,"#깔끔함, #편안함, #깔맞춤, #통일감, #세련된, #고급스러운, #커보이는, #안정감, #소재차이주기"
toneintone,"#비비드, #도전적, #발랄함, #과감함, #도전적, #개성적, #악세사리적게, #메인색정하기, #같은소재"
lovely,"#데이트, #귀여운, #청순함, #따뜻한, #블라우스, #니트, #리본, #프릴, #치마"
natural,"#인간미, #자연느낌, #편안함, #차분함, #안정적, #소박함, #큰, #에코백, #모자"
casual,"#명랑함, #자유로움, #속도감, #활동적, #유쾌함, #노멀, #평상복, #청바지, #같은소재"
classic,"#안정적, #따뜻함, #부드러움, #우아함, #넓은옷깃, #손수건, #정장, #구두, #빛바랜"
elegant,"#섬세한, #여성스러운, #우아함, #신비로움, #성숙함, #부드러움, #품위있는, #작은포인트, #허리선을강조"
modern,"#세련됨, #현대적, #신뢰감, #시크함, #진취적, #도시적, #차분함, #정장, #원피스"
ethnic,"#토속적, #전통적, #소박함, #자수패턴, #개량한복, #꽃무늬, #체크패턴, #악세사리, #깃털"
rockchic,"#너저분함, #강함, #터프함, #시크함, #섹시함, #락커, #가죽, #해골, #스모키"
amekaji,"#자유로움, #노동룩, #시티보이, #비니, #어글리슈즈, #아웃도어, #통넓은, #소매걷기, #빛바램"
retro,"#복고풍, #세련됨, #감성, #청청, #빛바램, #꽃무늬, #어깨강조, #블레이저, #빅로고"